,area,year,area_code,sports_participation,percentage
232,Ealing,2013,00AJ,1,0.21678321678321677
233,Ealing,2013,00AJ,2,0.23543123543123545
234,Ealing,2014,00AJ,0,0.5780730897009967
235,Ealing,2014,00AJ,1,0.2513842746400886
236,Ealing,2014,00AJ,2,0.17054263565891473
237,Ealing,2015,00AJ,0,0.5692137320044297
238,Ealing,2015,00AJ,1,0.21594684385382062
239,Ealing,2015,00AJ,2,0.2148394241417497
240,Enfield,2005,00AK,0,0.6280353200883001
241,Enfield,2005,00AK,1,0.18653421633554085
242,Enfield,2005,00AK,2,0.18543046357615894
243,Enfield,2007,00AK,0,0.61795166858458
244,Enfield,2007,00AK,1,0.23475258918296893
245,Enfield,2007,00AK,2,0.14729574223245107
246,Enfield,2008,00AK,0,0.596218020022247
247,Enfield,2008,00AK,1,0.23359288097886538
248,Enfield,2008,00AK,2,0.17018909899888765
249,Enfield,2009,00AK,0,0.6579572446555819
250,Enfield,2009,00AK,1,0.18052256532066513
251,Enfield,2009,00AK,2,0.16152019002375298
252,Enfield,2010,00AK,0,0.6280417149478563
253,Enfield,2010,00AK,1,0.24333719582850524
254,Enfield,2010,00AK,2,0.12862108922363846
255,Enfield,2011,00AK,0,0.5830469644902635
256,Enfield,2011,00AK,1,0.24284077892325315
257,Enfield,2011,00AK,2,0.17411225658648338
258,Enfield,2012,00AK,0,0.6326530612244897
259,Enfield,2012,00AK,1,0.20181405895691612
260,Enfield,2012,00AK,2,0.1655328798185941
261,Enfield,2013,00AK,0,0.5995525727069352
262,Enfield,2013,00AK,1,0.22595078299776283
263,Enfield,2013,00AK,2,0.174496644295302
264,Enfield,2014,00AK,0,0.5986984815618221
265,Enfield,2014,00AK,1,0.2266811279826464
266,Enfield,2014,00AK,2,0.17462039045553146
267,Enfield,2015,00AK,0,0.6674082313681869
268,Enfield,2015,00AK,1,0.185761957730812
269,Enfield,2015,00AK,2,0.14682981090100114
270,Greenwich,2005,00AL,0,0.6412556053811659
271,Greenwich,2005,00AL,1,0.17376681614349773
272,Greenwich,2005,00AL,2,0.1849775784753363
273,Greenwich,2007,00AL,0,0.6013667425968109
274,Greenwich,2007,00AL,1,0.20842824601366738
275,Greenwich,2007,00AL,2,0.1902050113895216
276,Greenwich,2008,00AL,0,0.5725359911406424
277,Greenwich,2008,00AL,1,0.17386489479512737
278,Greenwich,2008,00AL,2,0.2535991140642303
279,Greenwich,2009,00AL,0,0.6318234610917538
280,Greenwich,2009,00AL,1,0.173054587688734
281,Greenwich,2009,00AL,2,0.19512195121951217
282,Greenwich,2010,00AL,0,0.6251468860164512
283,Greenwich,2010,00AL,1,0.21974148061104581
284,Greenwich,2010,00AL,2,0.15511163337250292
285,Greenwich,2011,00AL,0,0.5871040723981901
286,Greenwich,2011,00AL,1,0.23868778280542985
287,Greenwich,2011,00AL,2,0.17420814479638008
288,Greenwich,2012,00AL,0,0.6098130841121495
289,Greenwich,2012,00AL,1,0.21378504672897192
290,Greenwich,2012,00AL,2,0.1764018691588785
291,Greenwich,2013,00AL,0,0.613013698630137
292,Greenwich,2013,00AL,1,0.20547945205479448
293,Greenwich,2013,00AL,2,0.1815068493150685
294,Greenwich,2014,00AL,0,0.6382022471910112
295,Greenwich,2014,00AL,1,0.18876404494382024
296,Greenwich,2014,00AL,2,0.17303370786516853
297,Greenwich,2015,00AL,0,0.5786384976525821
298,Greenwich,2015,00AL,1,0.21478873239436616
299,Greenwich,2015,00AL,2,0.20657276995305168
300,Hackney,2005,00AM,0,0.6308571428571429
301,Hackney,2005,00AM,1,0.19542857142857137
302,Hackney,2005,00AM,2,0.1737142857142857
303,Hackney,2007,00AM,0,0.613953488372093
304,Hackney,2007,00AM,1,0.20232558139534884
305,Hackney,2007,00AM,2,0.18372093023255812
306,Hackney,2008,00AM,0,0.6209677419354839
307,Hackney,2008,00AM,1,0.1820276497695852
308,Hackney,2008,00AM,2,0.19700460829493088
309,Hackney,2009,00AM,0,0.5838020247469067
310,Hackney,2009,00AM,1,0.2080989876265467
311,Hackney,2009,00AM,2,0.2080989876265467
312,Hackney,2010,00AM,0,0.5390070921985816
313,Hackney,2010,00AM,1,0.24822695035460993
314,Hackney,2010,00AM,2,0.21276595744680848
315,Hackney,2011,00AM,0,0.5668571428571428
316,Hackney,2011,00AM,1,0.1965714285714286
317,Hackney,2011,00AM,2,0.23657142857142857
318,Hackney,2012,00AM,0,0.5533869115958668
319,Hackney,2012,00AM,1,0.2411021814006889
320,Hackney,2012,00AM,2,0.20551090700344432
321,Hackney,2013,00AM,0,0.5853658536585366
322,Hackney,2013,00AM,1,0.19955654101995568
323,Hackney,2013,00AM,2,0.21507760532150774
324,Hackney,2014,00AM,0,0.5752625437572929
325,Hackney,2014,00AM,1,0.21586931155192532
326,Hackney,2014,00AM,2,0.2088681446907818
327,Hackney,2015,00AM,0,0.5571587125416204
328,Hackney,2015,00AM,1,0.2419533851276359
329,Hackney,2015,00AM,2,0.20088790233074363
330,Hammersmith And Fulham,2005,00AN,0,0.5177956371986223
331,Hammersmith And Fulham,2005,00AN,1,0.2422502870264064
332,Hammersmith And Fulham,2005,00AN,2,0.2399540757749713
333,Hammersmith And Fulham,2007,00AN,0,0.5262569832402235
334,Hammersmith And Fulham,2007,00AN,1,0.24022346368715083
335,Hammersmith And Fulham,2007,00AN,2,0.23351955307262567
336,Hammersmith And Fulham,2008,00AN,0,0.4554913294797687
337,Hammersmith And Fulham,2008,00AN,1,0.2589595375722544
338,Hammersmith And Fulham,2008,00AN,2,0.2855491329479769
339,Hammersmith And Fulham,2009,00AN,0,0.49607182940516276
340,Hammersmith And Fulham,2009,00AN,1,0.2356902356902357
341,Hammersmith And Fulham,2009,00AN,2,0.26823793490460157
342,Hammersmith And Fulham,2010,00AN,0,0.5
343,Hammersmith And Fulham,2010,00AN,1,0.2793791574279379
344,Hammersmith And Fulham,2010,00AN,2,0.22062084257206205
345,Hammersmith And Fulham,2011,00AN,0,0.47850055126791624
346,Hammersmith And Fulham,2011,00AN,1,0.3042998897464168
347,Hammersmith And Fulham,2011,00AN,2,0.21719955898566704
348,Hammersmith And Fulham,2012,00AN,0,0.5
349,Hammersmith And Fulham,2012,00AN,1,0.19117647058823528
350,Hammersmith And Fulham,2012,00AN,2,0.3088235294117647
351,Hammersmith And Fulham,2013,00AN,0,0.4525205158264948
352,Hammersmith And Fulham,2013,00AN,1,0.2497069167643611
353,Hammersmith And Fulham,2013,00AN,2,0.2977725674091442
354,Hammersmith And Fulham,2014,00AN,0,0.53429203539823
355,Hammersmith And Fulham,2014,00AN,1,0.20022123893805316
356,Hammersmith And Fulham,2014,00AN,2,0.2654867256637168
357,Hammersmith And Fulham,2015,00AN,0,0.5063583815028901
358,Hammersmith And Fulham,2015,00AN,1,0.2578034682080926
359,Hammersmith And Fulham,2015,00AN,2,0.23583815028901733
360,Haringey,2005,00AP,0,0.5979729729729729
361,Haringey,2005,00AP,1,0.20270270270270274
362,Haringey,2005,00AP,2,0.1993243243243243
363,Haringey,2007,00AP,0,0.5709382151029747
364,Haringey,2007,00AP,1,0.23569794050343248
365,Haringey,2007,00AP,2,0.19336384439359264
366,Haringey,2008,00AP,0,0.5950782997762863
367,Haringey,2008,00AP,1,0.20693512304250564
368,Haringey,2008,00AP,2,0.19798657718120802
369,Haringey,2009,00AP,0,0.5743243243243245
370,Haringey,2009,00AP,1,0.22409909909909909
371,Haringey,2009,00AP,2,0.2015765765765766
372,Haringey,2010,00AP,0,0.5700824499411072
373,Haringey,2010,00AP,1,0.21672555948174319
374,Haringey,2010,00AP,2,0.21319199057714963
375,Haringey,2011,00AP,0,0.570627802690583
376,Haringey,2011,00AP,1,0.23206278026905822
377,Haringey,2011,00AP,2,0.19730941704035876
378,Haringey,2012,00AP,0,0.5592635212888377
379,Haringey,2012,00AP,1,0.23360184119677785
380,Haringey,2012,00AP,2,0.20713463751438435
381,Haringey,2013,00AP,0,0.5174353205849269
382,Haringey,2013,00AP,1,0.26321709786276715
383,Haringey,2013,00AP,2,0.21934758155230596
384,Haringey,2014,00AP,0,0.5686046511627907
385,Haringey,2014,00AP,1,0.16627906976744186
386,Haringey,2014,00AP,2,0.2651162790697675
387,Haringey,2015,00AP,0,0.5050167224080268
388,Haringey,2015,00AP,1,0.23857302118171686
389,Haringey,2015,00AP,2,0.25641025641025644
390,Harrow,2005,00AQ,0,0.6358511837655016
391,Harrow,2005,00AQ,1,0.20518602029312288
392,Harrow,2005,00AQ,2,0.1589627959413754
393,Harrow,2007,00AQ,0,0.6514084507042254
394,Harrow,2007,00AQ,1,0.20305164319248825
395,Harrow,2007,00AQ,2,0.14553990610328638
396,Harrow,2008,00AQ,0,0.6204889406286379
397,Harrow,2008,00AQ,1,0.21071012805587896
398,Harrow,2008,00AQ,2,0.1688009313154831
399,Harrow,2009,00AQ,0,0.6128293241695304
400,Harrow,2009,00AQ,1,0.1855670103092783
401,Harrow,2009,00AQ,2,0.20160366552119133
402,Harrow,2010,00AQ,0,0.5892648774795799
403,Harrow,2010,00AQ,1,0.20770128354725795
404,Harrow,2010,00AQ,2,0.20303383897316218
405,Harrow,2011,00AQ,0,0.5934579439252337
406,Harrow,2011,00AQ,1,0.22196261682242988
407,Harrow,2011,00AQ,2,0.18457943925233644
408,Harrow,2012,00AQ,0,0.5902777777777778
409,Harrow,2012,00AQ,1,0.24305555555555552
410,Harrow,2012,00AQ,2,0.16666666666666669
411,Harrow,2013,00AQ,0,0.6402640264026402
412,Harrow,2013,00AQ,1,0.198019801980198
413,Harrow,2013,00AQ,2,0.16171617161716167
414,Harrow,2014,00AQ,0,0.5964523281596452
415,Harrow,2014,00AQ,1,0.2139689578713969
416,Harrow,2014,00AQ,2,0.1895787139689579
417,Harrow,2015,00AQ,0,0.6174568965517241
418,Harrow,2015,00AQ,1,0.20150862068965517
419,Harrow,2015,00AQ,2,0.18103448275862072
420,Havering,2005,00AR,0,0.6431818181818182
421,Havering,2005,00AR,1,0.18636363636363634
422,Havering,2005,00AR,2,0.17045454545454541
423,Havering,2007,00AR,0,0.6015625
424,Havering,2007,00AR,1,0.23995535714285718
425,Havering,2007,00AR,2,0.15848214285714282
426,Havering,2008,00AR,0,0.601328903654485
427,Havering,2008,00AR,1,0.2115171650055371
428,Havering,2008,00AR,2,0.18715393133997782
429,Havering,2009,00AR,0,0.6262975778546712
430,Havering,2009,00AR,1,0.19261822376009227
431,Havering,2009,00AR,2,0.18108419838523646
432,Havering,2010,00AR,0,0.6370967741935483
433,Havering,2010,00AR,1,0.18202764976958527
434,Havering,2010,00AR,2,0.18087557603686635
435,Havering,2011,00AR,0,0.6289237668161435
436,Havering,2011,00AR,1,0.18273542600896858
437,Havering,2011,00AR,2,0.18834080717488788
438,Havering,2012,00AR,0,0.6295045045045045
439,Havering,2012,00AR,1,0.1734234234234234
440,Havering,2012,00AR,2,0.19707207207207209
441,Havering,2013,00AR,0,0.6328392246294184
442,Havering,2013,00AR,1,0.18700114025085518
443,Havering,2013,00AR,2,0.18015963511972632
444,Havering,2014,00AR,0,0.5918591859185918
445,Havering,2014,00AR,1,0.22442244224422442
446,Havering,2014,00AR,2,0.1837183718371837
447,Havering,2015,00AR,0,0.5999999999999999
448,Havering,2015,00AR,1,0.23204419889502767
449,Havering,2015,00AR,2,0.16795580110497238
450,Hillingdon,2005,00AS,0,0.6083521444695259
451,Hillingdon,2005,00AS,1,0.2110609480812641
452,Hillingdon,2005,00AS,2,0.1805869074492099
453,Hillingdon,2007,00AS,0,0.5824682814302191
454,Hillingdon,2007,00AS,1,0.20991926182237608
455,Hillingdon,2007,00AS,2,0.20761245674740483
456,Hillingdon,2008,00AS,0,0.5451428571428572
457,Hillingdon,2008,00AS,1,0.2628571428571428
458,Hillingdon,2008,00AS,2,0.192
459,Hillingdon,2009,00AS,0,0.6161731207289294
460,Hillingdon,2009,00AS,1,0.2152619589977221
461,Hillingdon,2009,00AS,2,0.16856492027334855
462,Hillingdon,2010,00AS,0,0.6689497716894978
463,Hillingdon,2010,00AS,1,0.20776255707762556
464,Hillingdon,2010,00AS,2,0.12328767123287675
465,Hillingdon,2011,00AS,0,0.6167452830188679
466,Hillingdon,2011,00AS,1,0.1981132075471698
467,Hillingdon,2011,00AS,2,0.18514150943396224
468,Hillingdon,2012,00AS,0,0.5344262295081967
469,Hillingdon,2012,00AS,1,0.23278688524590166
470,Hillingdon,2012,00AS,2,0.23278688524590166
471,Hillingdon,2013,00AS,0,0.6296296296296297
472,Hillingdon,2013,00AS,1,0.17845117845117842
473,Hillingdon,2013,00AS,2,0.1919191919191919
474,Hillingdon,2014,00AS,0,0.673224043715847
475,Hillingdon,2014,00AS,1,0.18032786885245902
476,Hillingdon,2014,00AS,2,0.14644808743169402
477,Hillingdon,2015,00AS,0,0.6628571428571429
478,Hillingdon,2015,00AS,1,0.19542857142857142
479,Hillingdon,2015,00AS,2,0.14171428571428574
480,Hounslow,2005,00AT,0,0.6251415628539072
481,Hounslow,2005,00AT,1,0.1891279728199321
482,Hounslow,2005,00AT,2,0.18573046432616078
483,Hounslow,2007,00AT,0,0.5949820788530467
484,Hounslow,2007,00AT,1,0.2270011947431302
485,Hounslow,2007,00AT,2,0.17801672640382318
486,Hounslow,2008,00AT,0,0.5892857142857142
487,Hounslow,2008,00AT,1,0.21093749999999997
488,Hounslow,2008,00AT,2,0.19977678571428567
489,Hounslow,2009,00AT,0,0.6352272727272726
490,Hounslow,2009,00AT,1,0.19204545454545455
491,Hounslow,2009,00AT,2,0.17272727272727273
492,Hounslow,2010,00AT,0,0.6058890147225369
493,Hounslow,2010,00AT,1,0.18120045300113247
494,Hounslow,2010,00AT,2,0.2129105322763307
495,Hounslow,2011,00AT,0,0.5491525423728814
496,Hounslow,2011,00AT,1,0.22033898305084745
497,Hounslow,2011,00AT,2,0.2305084745762712
498,Hounslow,2012,00AT,0,0.6159250585480095
499,Hounslow,2012,00AT,1,0.1920374707259953
500,Hounslow,2012,00AT,2,0.1920374707259953
501,Hounslow,2013,00AT,0,0.5114155251141552
502,Hounslow,2013,00AT,1,0.2568493150684932
503,Hounslow,2013,00AT,2,0.23173515981735165
504,Hounslow,2014,00AT,0,0.5919037199124727
505,Hounslow,2014,00AT,1,0.18708971553610504
506,Hounslow,2014,00AT,2,0.22100656455142229
507,Hounslow,2015,00AT,0,0.6008869179600888
508,Hounslow,2015,00AT,1,0.21064301552106426
509,Hounslow,2015,00AT,2,0.188470066518847
510,Islington,2005,00AU,0,0.6059907834101382
511,Islington,2005,00AU,1,0.20852534562211983
512,Islington,2005,00AU,2,0.1854838709677419
513,Islington,2007,00AU,0,0.5590277777777778
514,Islington,2007,00AU,1,0.212962962962963
515,Islington,2007,00AU,2,0.22800925925925924
516,Islington,2008,00AU,0,0.5080275229357798
517,Islington,2008,00AU,1,0.26146788990825687
518,Islington,2008,00AU,2,0.23050458715596334
519,Islington,2009,00AU,0,0.5358361774744027
520,Islington,2009,00AU,1,0.22070534698521044
521,Islington,2009,00AU,2,0.2434584755403868
522,Islington,2010,00AU,0,0.5526315789473684
523,Islington,2010,00AU,1,0.24043062200956933
524,Islington,2010,00AU,2,0.2069377990430622
525,Islington,2011,00AU,0,0.5
526,Islington,2011,00AU,1,0.2658371040723982
527,Islington,2011,00AU,2,0.23416289592760178
528,Islington,2012,00AU,0,0.475669099756691
529,Islington,2012,00AU,1,0.23844282238442824
530,Islington,2012,00AU,2,0.28588807785888076
531,Islington,2013,00AU,0,0.46635182998819363
532,Islington,2013,00AU,1,0.30224321133412047
533,Islington,2013,00AU,2,0.23140495867768596
534,Islington,2014,00AU,0,0.49602724177071517
535,Islington,2014,00AU,1,0.25312145289443816
536,Islington,2014,00AU,2,0.2508513053348468
537,Islington,2015,00AU,0,0.5377358490566038
538,Islington,2015,00AU,1,0.2346698113207547
539,Islington,2015,00AU,2,0.2275943396226415
540,Kensington And Chelsea,2005,00AW,0,0.5016910935738444
541,Kensington And Chelsea,2005,00AW,1,0.2525366403607666
